B11,B12,B2,B3,B4,B8,EVI,NDVI,NDWI,SAVI,date
0.2695,0.2373,0.06430000000000001,0.1114,0.1434,0.21830000000000002,0.11729149049453479,0.2070776886922865,-0.32423415225963004,0.13038180341186031,2024-03-21
0.2554,0.2033,0.0864,0.1164,0.12660000000000002,0.2356,0.202271377672209,0.30093870789618987,-0.3386363636363637,0.18963117606123864,2024-03-31
0.1501,0.101,0.043000000000000003,0.0664,0.0646,0.18780000000000002,0.24582967515364357,0.4881141045958796,-0.4775767112509835,0.24561403508771937,2024-04-10
0.2283,0.1433,0.043000000000000003,0.0596,0.0473,0.364,0.597411906738097,0.7699975686846584,-0.7186024551463646,0.5212882695051027,2024-04-25
0.22840000000000002,0.152,0.0297,0.053700000000000005,0.046900000000000004,0.39080000000000004,0.5931560246990237,0.78569796664382,-0.7583802024746906,0.5501226405033594,2024-04-30
0.2262,0.1562,0.0434,0.061500000000000006,0.0538,0.3816,0.5943143085067808,0.7528709232889297,-0.7224102911306702,0.5256574727389351,2024-05-05
0.22870000000000001,0.1502,0.0976,0.11080000000000001,0.098,0.35000000000000003,0.5223880597014926,0.5624999999999999,-0.5190972222222222,0.39873417721518983,2024-05-10
0.2217,0.13870000000000002,0.0354,0.051800000000000006,0.0434,0.3841,0.6176577229876722,0.7969590643274854,-0.7623308098187657,0.5509973045822102,2024-05-15
0.228,0.1364,0.030000000000000002,0.062200000000000005,0.0613,0.3251,0.44928128619115737,0.6827122153209109,-0.6788019623031243,0.4464124548736461,2024-05-20
0.2257,0.1434,0.048,0.0616,0.056100000000000004,0.3383,0.5365427028671381,0.7155172413793104,-0.6919229807451863,0.47327817531305905,2024-05-25
0.23720000000000002,0.16090000000000002,0.0251,0.0608,0.06960000000000001,0.312,0.3931618386479385,0.6352201257861635,-0.6738197424892703,0.412431941923775,2024-05-30
0.23950000000000002,0.1603,0.0204,0.055900000000000005,0.0636,0.3331,0.4314208874943971,0.6793546760776406,-0.7125964010282776,0.45081967213114754,2024-06-04
0.2441,0.1564,0.0244,0.0545,0.0543,0.33,0.4679861488321565,0.7174082747853239,-0.716514954486346,0.4676580346036413,2024-06-09
0.2827,0.19310000000000002,0.06810000000000001,0.09860000000000001,0.11420000000000001,0.2934,0.3052082978505978,0.43964671246319914,-0.496938775510204,0.29616571176729833,2024-06-14
0.3121,0.2157,0.0835,0.1388,0.1897,0.3307,0.19130057254497598,0.270945426594927,-0.4087326943556975,0.20727165817326537,2024-06-19
0.2651,0.23220000000000002,0.0901,0.1212,0.1368,0.20770000000000002,0.13102938458695254,0.20580551523947754,-0.2629978716935239,0.12593250444049736,2024-10-02
0.2912,0.2426,0.0753,0.1188,0.1338,0.2097,0.1310654463823174,0.2209606986899563,-0.27671232876712326,0.13497332542975693,2024-10-07
0.2913,0.25370000000000004,0.0716,0.1212,0.1484,0.18510000000000001,0.05963600909977252,0.1100449775112444,-0.20861900097943195,0.06604679064187165,2024-10-17
0.3002,0.26780000000000004,0.09430000000000001,0.12840000000000001,0.1584,0.2187,0.10312275541266201,0.15990453460620524,-0.2601555747623163,0.10312393113670047,2024-10-22
0.311,0.2666,0.1328,0.1442,0.157,0.2466,0.18782492034210974,0.22200198216055503,-0.26202661207778916,0.14873837981407706,2024-11-01
0.2644,0.22560000000000002,0.1306,0.1446,0.1434,0.21200000000000002,0.1569219507731723,0.1930219471018571,-0.18900729108244535,0.12029459901800331,2024-11-06
0.2306,0.1721,0.0884,0.11220000000000001,0.11860000000000001,0.18680000000000002,0.13801197992553021,0.22331368696791096,-0.24949832775919734,0.12701763099081204,2024-11-11
0.2356,0.16920000000000002,0.012400000000000001,0.0718,0.08080000000000001,0.222,0.21873838145990826,0.46631439894319676,-0.5112321307011573,0.26382660687593423,2024-11-16
0.1884,0.1213,0.032,0.061000000000000006,0.057100000000000005,0.2452,0.348901914230598,0.6222295732715845,-0.6015676028739385,0.3516764302629939,2024-11-21
0.19770000000000001,0.1182,0.067,0.0942,0.0728,0.2978,0.45653761869978093,0.6071235833783054,-0.5193877551020408,0.38766368022053754,2024-11-26
0.2237,0.1593,0.0574,0.077,0.0666,0.3531,0.5417107850552111,0.6826304503216584,-0.6419437340153452,0.467271936501033,2024-12-01
0.18560000000000001,0.1092,0.0682,0.0896,0.0625,0.3764,0.6329139446729576,0.7151970836181363,-0.615450643776824,0.5014911066141229,2024-12-06
0.1826,0.1115,0.0422,0.06720000000000001,0.039400000000000004,0.404,0.6884961099780951,0.8222823635543528,-0.7147707979626484,0.5797116811532754,2024-12-11
0.1831,0.10070000000000001,0.043000000000000003,0.08,0.055400000000000005,0.3875,0.5941391155002147,0.7498306615488823,-0.6577540106951871,0.5283168946866051,2024-12-16
0.1897,0.10700000000000001,0.06280000000000001,0.09280000000000001,0.06420000000000001,0.4116,0.6550761804193694,0.7301387137452712,-0.6320380650277557,0.5340233654437385,2024-12-16
0.1711,0.09290000000000001,0.044500000000000005,0.0716,0.0449,0.4061,0.6730016769144774,0.8008869179600887,-0.7002302700439607,0.5697160883280757,2024-12-21
0.17830000000000001,0.09140000000000001,0.113,0.13,0.09920000000000001,0.3345,0.543568656440584,0.5425409269080009,-0.4402583423035522,0.3780122094891293,2024-12-26
0.1668,0.0956,0.09280000000000001,0.1096,0.079,0.30410000000000004,0.5200535994824877,0.5875750456799791,-0.4701474498428813,0.38234628014947347,2025-01-10
0.1857,0.12150000000000001,0.054400000000000004,0.08120000000000001,0.0614,0.2614,0.4092322802422655,0.6195786864931846,-0.5259778166958553,0.3646086533787069,2025-01-20
0.1973,0.1316,0.0436,0.07740000000000001,0.0722,0.2442,0.3184241706161137,0.5436156763590391,-0.5186567164179104,0.3160215580597746,2025-01-25
0.19820000000000002,0.1516,0.08220000000000001,0.097,0.0877,0.2439,0.3385055478502081,0.4710494571773221,-0.43091815781754184,0.28174603174603174,2025-01-30
0.2536,0.2233,0.0785,0.116,0.1432,0.2508,0.17682826622843065,0.2730964467005077,-0.36750272628135233,0.1805369127516779,2025-02-14
